apartment_id,room,temp_start,temp_end,temp_preference,temp_ext,humidity_ext,delta_temp,hour,day_of_week,is_weekend,timestamp,duration_min
APT_101,chambre_1,22.0,22.4,24.0,18.3,54.5,0.3999999999999986,12,5,1,2024-11-09 12:10:00,50.0
APT_101,chambre_1,19.6,21.0,24.0,14.8,72.2,1.3999999999999986,10,5,1,2024-11-16 10:10:00,60.0
APT_101,chambre_1,21.3,21.6,24.0,15.3,71.0,0.3000000000000007,12,5,1,2024-11-16 12:30:00,70.0
APT_101,chambre_1,21.3,21.7,24.0,15.3,67.3,0.3999999999999986,11,6,1,2024-11-17 11:20:00,90.0
APT_101,chambre_1,19.0,19.4,24.0,12.6,45.8,0.3999999999999986,10,5,1,2024-11-23 10:50:00,30.0
APT_101,chambre_1,19.9,20.2,24.0,12.9,46.0,0.3000000000000007,11,5,1,2024-11-23 11:50:00,30.0
APT_101,chambre_1,20.6,21.1,24.0,12.8,46.0,0.5,13,5,1,2024-11-23 13:00:00,70.0
APT_101,chambre_1,20.9,21.2,24.0,12.2,52.3,0.3000000000000007,14,5,1,2024-11-23 14:40:00,100.0
APT_101,chambre_1,19.8,20.1,24.0,13.0,88.0,0.3000000000000007,10,6,1,2024-11-24 10:10:00,30.0
APT_101,chambre_1,20.0,20.5,24.0,12.5,59.7,0.5,10,5,1,2024-12-07 10:10:00,40.0
APT_101,chambre_1,19.1,19.8,24.0,11.1,51.0,0.6999999999999993,10,6,1,2024-12-08 10:40:00,40.0
APT_101,chambre_1,20.1,21.2,24.0,12.4,75.0,1.0999999999999979,11,5,1,2024-12-14 11:30:00,80.0
APT_101,chambre_1,21.2,21.5,24.0,14.1,61.3,0.3000000000000007,13,5,1,2024-12-14 13:10:00,110.0
APT_101,chambre_1,19.7,20.7,24.0,12.4,59.5,1.0,10,6,1,2024-12-15 10:10:00,50.0
APT_101,chambre_1,20.8,21.6,24.0,14.6,51.7,0.8000000000000007,12,6,1,2024-12-15 12:40:00,110.0
APT_101,chambre_1,18.6,19.4,24.0,11.4,54.5,0.7999999999999972,10,5,1,2024-12-21 10:10:00,30.0
APT_101,chambre_1,19.9,20.2,24.0,12.4,48.5,0.3000000000000007,10,5,1,2024-12-21 10:50:00,30.0
APT_101,chambre_1,20.6,21.2,24.0,12.8,46.5,0.5999999999999979,11,5,1,2024-12-21 11:30:00,70.0
APT_101,chambre_1,21.2,21.8,24.0,14.7,53.0,0.6000000000000014,10,5,1,2024-12-28 10:50:00,80.0
APT_101,chambre_1,21.2,21.7,24.0,15.3,46.5,0.5,11,6,1,2024-12-29 11:10:00,60.0
APT_101,chambre_1,20.3,21.2,24.0,12.0,44.3,0.8999999999999986,11,5,1,2025-01-04 11:10:00,70.0
APT_101,chambre_1,19.0,19.3,24.0,12.8,79.5,0.3000000000000007,10,6,1,2025-01-05 10:10:00,20.0
APT_101,chambre_1,19.9,21.1,24.0,13.3,82.0,1.2000000000000028,11,6,1,2025-01-05 11:00:00,80.0
APT_101,chambre_1,19.9,20.6,24.0,11.1,78.0,0.7000000000000028,10,5,1,2025-01-11 10:40:00,60.0
APT_101,chambre_1,19.0,20.1,24.0,12.6,42.3,1.1000000000000014,10,5,1,2025-01-18 10:20:00,40.0
APT_101,chambre_1,20.6,21.1,24.0,14.6,40.3,0.5,11,5,1,2025-01-18 11:10:00,40.0
APT_101,chambre_1,21.2,21.5,24.0,16.0,40.7,0.3000000000000007,12,5,1,2025-01-18 12:20:00,60.0
APT_101,chambre_1,21.4,21.7,24.0,14.7,53.0,0.3000000000000007,14,5,1,2025-01-18 14:00:00,70.0
APT_101,chambre_1,20.2,20.6,24.0,14.8,51.7,0.40000000000000213,10,6,1,2025-01-26 10:50:00,30.0
APT_101,chambre_1,20.9,21.8,24.0,14.9,53.0,0.9000000000000021,11,6,1,2025-01-26 11:30:00,80.0
APT_101,chambre_2,22.1,22.5,24.0,19.4,55.0,0.3999999999999986,10,5,1,2024-11-02 10:30:00,90.0
APT_101,chambre_2,22.1,22.5,24.0,20.5,56.0,0.3999999999999986,10,6,1,2024-11-03 10:30:00,60.0
APT_101,chambre_2,22.7,23.1,24.0,21.0,59.8,0.40000000000000213,12,6,1,2024-11-03 12:50:00,50.0
APT_101,chambre_2,22.0,22.3,24.0,19.0,56.0,0.3000000000000007,11,6,1,2024-11-10 11:00:00,50.0
APT_101,chambre_2,20.5,21.2,24.0,14.9,72.5,0.6999999999999993,10,5,1,2024-11-16 10:30:00,50.0
APT_101,chambre_2,21.2,21.6,24.0,15.2,75.3,0.40000000000000213,13,6,1,2024-11-17 13:10:00,100.0
APT_101,chambre_2,19.5,20.0,24.0,13.5,86.3,0.5,11,6,1,2024-11-24 11:50:00,30.0
APT_101,chambre_2,20.3,20.8,24.0,13.2,87.5,0.5,12,6,1,2024-11-24 12:30:00,50.0
APT_101,chambre_2,20.5,20.9,24.0,12.8,89.3,0.3999999999999986,15,6,1,2024-11-24 15:20:00,70.0
APT_101,chambre_2,20.9,21.2,24.0,13.1,66.5,0.3000000000000007,10,5,1,2024-11-30 10:50:00,70.0
APT_101,chambre_2,21.0,21.4,24.0,13.7,65.0,0.3999999999999986,13,5,1,2024-11-30 13:00:00,70.0
APT_101,chambre_2,20.5,20.9,24.0,12.9,61.5,0.3999999999999986,10,6,1,2024-12-01 10:50:00,60.0
APT_101,chambre_2,18.8,20.7,24.0,10.6,52.5,1.8999999999999986,10,6,1,2024-12-08 10:10:00,90.0
APT_101,chambre_2,19.4,20.7,24.0,11.2,81.3,1.3000000000000007,10,5,1,2024-12-14 10:10:00,80.0
APT_101,chambre_2,20.9,21.2,24.0,12.6,74.0,0.3000000000000007,11,5,1,2024-12-14 11:40:00,60.0
APT_101,chambre_2,21.5,21.8,24.0,14.1,59.7,0.3000000000000007,13,5,1,2024-12-14 13:20:00,100.0
APT_101,chambre_2,18.7,20.0,24.0,11.8,51.5,1.3000000000000007,10,5,1,2024-12-21 10:30:00,50.0
APT_101,chambre_2,20.2,20.7,24.0,12.8,46.2,0.5,11,5,1,2024-12-21 11:50:00,40.0
APT_101,chambre_2,21.3,21.6,24.0,15.0,62.3,0.3000000000000007,11,6,1,2024-12-22 11:40:00,70.0
APT_101,chambre_2,21.0,21.3,24.0,14.1,62.5,0.3000000000000007,14,6,1,2024-12-29 14:30:00,90.0
APT_101,chambre_2,20.7,21.0,24.0,11.8,47.3,0.3000000000000007,12,5,1,2025-01-04 12:20:00,60.0
APT_101,chambre_2,20.8,21.3,24.0,13.4,81.8,0.5,11,6,1,2025-01-05 11:10:00,70.0
APT_101,chambre_2,20.1,20.5,24.0,11.1,79.0,0.3999999999999986,11,5,1,2025-01-11 11:00:00,50.0
APT_101,chambre_2,20.3,21.1,24.0,12.0,76.2,0.8000000000000007,12,5,1,2025-01-11 12:50:00,110.0
APT_101,chambre_2,20.8,21.1,24.0,11.3,74.0,0.3000000000000007,15,5,1,2025-01-11 15:00:00,70.0
APT_101,chambre_2,20.0,20.7,24.0,11.0,52.0,0.6999999999999993,11,6,1,2025-01-12 11:00:00,80.0
APT_101,chambre_2,20.8,21.4,24.0,15.4,38.3,0.5999999999999979,11,5,1,2025-01-18 11:40:00,50.0
APT_101,chambre_2,21.3,21.9,24.0,16.1,46.2,0.5999999999999979,12,5,1,2025-01-18 12:50:00,100.0
APT_101,chambre_2,20.4,21.0,24.0,14.3,44.0,0.6000000000000014,11,6,1,2025-01-19 11:00:00,60.0
APT_101,chambre_2,19.1,20.8,24.0,13.9,74.3,1.6999999999999993,10,5,1,2025-01-25 10:10:00,60.0
APT_101,chambre_2,21.2,21.5,24.0,14.4,86.0,0.3000000000000007,12,5,1,2025-01-25 12:00:00,50.0
APT_101,chambre_2,21.2,21.6,24.0,14.2,55.0,0.40000000000000213,10,6,1,2025-01-26 10:30:00,60.0
APT_101,cuisine,22.1,22.5,24.0,19.4,54.0,0.3999999999999986,10,5,1,2024-11-02 10:20:00,70.0
APT_101,cuisine,22.1,22.5,24.0,20.6,63.0,0.3999999999999986,14,6,1,2024-11-03 14:00:00,110.0
APT_101,cuisine,21.5,21.9,24.0,18.4,67.7,0.3999999999999986,13,6,1,2024-11-10 13:40:00,70.0
